epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4028.45,1.11719,0.8818,1.33845,0.82115,0.69667,0.74695,0.47549,1.33373,0.85839,1.35419,0.0086536,0.0086536,0.0086536
70,4086.11,1.10824,0.88203,1.33943,0.7725,0.7078,0.75188,0.47727,1.32686,0.82929,1.33394,0.0086338,0.0086338,0.0086338
71,4144.27,1.09925,0.86206,1.32918,0.82383,0.67747,0.7595,0.47583,1.34452,0.83549,1.34883,0.008614,0.008614,0.008614
72,4202.87,1.11256,0.87106,1.33407,0.78525,0.71768,0.75775,0.48015,1.33003,0.83121,1.34019,0.0085942,0.0085942,0.0085942
73,4261.24,1.10519,0.86952,1.32891,0.8229,0.70922,0.75865,0.47763,1.31612,0.85271,1.33309,0.0085744,0.0085744,0.0085744
74,4318.48,1.10357,0.85937,1.32716,0.82447,0.72233,0.75471,0.48281,1.30255,0.82259,1.33246,0.0085546,0.0085546,0.0085546
75,4377.9,1.09472,0.86287,1.32608,0.79834,0.72405,0.75807,0.47591,1.31332,0.84516,1.33235,0.0085348,0.0085348,0.0085348
76,4436.84,1.07994,0.85114,1.31665,0.7942,0.72323,0.76513,0.47775,1.31897,0.81531,1.34148,0.008515,0.008515,0.008515
77,4491.57,1.09401,0.8517,1.32184,0.7887,0.69783,0.74683,0.47129,1.31156,0.85288,1.35062,0.0084952,0.0084952,0.0084952
78,4546.99,1.0845,0.85185,1.31756,0.78598,0.72787,0.76193,0.47473,1.30455,0.82219,1.33107,0.0084754,0.0084754,0.0084754
79,4604.65,1.08829,0.83965,1.31859,0.79669,0.7266,0.75335,0.47288,1.3179,0.81212,1.34305,0.0084556,0.0084556,0.0084556
80,4662.86,1.08423,0.84347,1.31601,0.76867,0.72333,0.75359,0.47503,1.30929,0.838,1.34097,0.0084358,0.0084358,0.0084358
81,4720.67,1.07318,0.83135,1.31095,0.82436,0.7104,0.75932,0.47843,1.31631,0.82497,1.34045,0.008416,0.008416,0.008416
82,4778.74,1.0745,0.8306,1.30344,0.81901,0.69669,0.75705,0.47761,1.31587,0.81797,1.33898,0.0083962,0.0083962,0.0083962
83,4836.83,1.06906,0.82406,1.30706,0.80844,0.72405,0.75425,0.47467,1.31363,0.81741,1.34651,0.0083764,0.0083764,0.0083764
84,4895.11,1.07382,0.82697,1.30512,0.78147,0.71253,0.75088,0.465,1.31608,0.82286,1.34779,0.0083566,0.0083566,0.0083566
85,4954.26,1.06009,0.81851,1.29774,0.75763,0.71603,0.74988,0.48203,1.28666,0.81703,1.32277,0.0083368,0.0083368,0.0083368
86,5013.13,1.07037,0.8203,1.30268,0.78705,0.7321,0.76017,0.47909,1.31554,0.82631,1.33772,0.008317,0.008317,0.008317
87,5071.87,1.06208,0.81492,1.30394,0.80906,0.71839,0.75259,0.47711,1.29638,0.84446,1.33748,0.0082972,0.0082972,0.0082972
88,5130.73,1.05926,0.81665,1.29371,0.79626,0.73362,0.75453,0.47713,1.29033,0.82162,1.32454,0.0082774,0.0082774,0.0082774
89,5188.58,1.06241,0.80612,1.29737,0.7869,0.72352,0.75436,0.48687,1.29202,0.82008,1.32768,0.0082576,0.0082576,0.0082576
90,5245.87,1.05591,0.80447,1.29094,0.78114,0.74096,0.76221,0.48527,1.29144,0.81127,1.32199,0.0082378,0.0082378,0.0082378
91,5303.13,1.05866,0.80418,1.29351,0.81621,0.70975,0.75344,0.48273,1.30207,0.81643,1.33011,0.008218,0.008218,0.008218
92,5360.35,1.0471,0.79528,1.28784,0.80216,0.72929,0.76494,0.48399,1.31074,0.80588,1.33753,0.0081982,0.0081982,0.0081982
93,5417.62,1.04405,0.7899,1.28335,0.81515,0.7211,0.75451,0.47769,1.31256,0.80939,1.33911,0.0081784,0.0081784,0.0081784
94,5475.64,1.04305,0.79323,1.28532,0.78642,0.73781,0.75058,0.47602,1.31206,0.80861,1.33335,0.0081586,0.0081586,0.0081586
95,5530.81,1.04568,0.79856,1.28996,0.76804,0.73174,0.75051,0.47994,1.3009,0.81609,1.33246,0.0081388,0.0081388,0.0081388
96,5588.48,1.04149,0.79276,1.28339,0.81877,0.70053,0.75272,0.48204,1.30831,0.81707,1.33466,0.008119,0.008119,0.008119
97,5646.41,1.02969,0.77641,1.27749,0.78803,0.73799,0.75551,0.48366,1.30236,0.81735,1.33455,0.0080992,0.0080992,0.0080992
98,5704.54,1.03882,0.78804,1.28307,0.78126,0.75034,0.76327,0.4846,1.30143,0.80577,1.33198,0.0080794,0.0080794,0.0080794
99,5763.06,1.03797,0.78954,1.28155,0.79151,0.74373,0.76052,0.48288,1.29583,0.79731,1.33191,0.0080596,0.0080596,0.0080596
100,5821.79,1.03472,0.77563,1.2746,0.79781,0.73138,0.75478,0.47975,1.2782,0.7973,1.31215,0.0080398,0.0080398,0.0080398
